eco,name,pgn,uci,epd,gambit_name,eco_gambit_name
A52,Indian Defense: Budapest Defense,1. d4 Nf6 2. c4 e5 3. dxe5 Ng4,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4,rnbqkb1r/pppp1ppp/8/4P3/2P3n1/8/PP2PPPP/RNBQKBNR w KQkq -,Budapest Defense,A52 Budapest Defense
A52,"Indian Defense: Budapest Defense, Adler Variation",1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. Nf3,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 g1f3,rnbqkb1r/pppp1ppp/8/4P3/2P3n1/5N2/PP2PPPP/RNBQKB1R b KQkq -,Budapest Defense,A52 Budapest Defense
A52,"Indian Defense: Budapest Defense, Alekhine Variation",1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. e4,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4,rnbqkb1r/pppp1ppp/8/4P3/2P1P1n1/8/PP3PPP/RNBQKBNR b KQkq -,Budapest Defense,A52 Budapest Defense
A52,"Indian Defense: Budapest Defense, Alekhine Variation, Abonyi Variation",1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. e4 Nxe5 5. f4 Nec6,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 g4e5 f2f4 e5c6,rnbqkb1r/pppp1ppp/2n5/8/2P1PP2/8/PP4PP/RNBQKBNR w KQkq -,Budapest Defense,A52 Budapest Defense
A52,"Indian Defense: Budapest Defense, Alekhine Variation, Tartakower Defense",1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. e4 d6,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 d7d6,rnbqkb1r/ppp2ppp/3p4/4P3/2P1P1n1/8/PP3PPP/RNBQKBNR w KQkq -,Budapest Defense,A52 Budapest Defense
A52,"Indian Defense: Budapest Defense, Rubinstein Variation",1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. Bf4,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 c1f4,rnbqkb1r/pppp1ppp/8/4P3/2P2Bn1/8/PP2PPPP/RN1QKBNR b KQkq -,Budapest Defense,A52 Budapest Defense
A53,Old Indian Defense: Aged Gibbon Gambit,1. d4 Nf6 2. c4 d6 3. g4,d2d4 g8f6 c2c4 d7d6 g2g4,rnbqkb1r/ppp1pppp/3p1n2/8/2PP2P1/8/PP2PP1P/RNBQKBNR b KQkq -,Aged Gibbon Gambit,A53 Aged Gibbon Gambit
A53,"Old Indian Defense: Janowski Variation, Grinberg Gambit",1. d4 Nf6 2. c4 d6 3. Nc3 Bf5 4. e4,d2d4 g8f6 c2c4 d7d6 b1c3 c8f5 e2e4,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,Grinberg Gambit,A53 Grinberg Gambit
A57,Benko Gambit,1. d4 Nf6 2. c4 c5 3. d5 b5,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,Benko Gambit,A57 Benko Gambit
A57,Benko Gambit Accepted,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6,rnbqkb1r/3ppppp/p4n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq -,Benko Gambit,A57 Benko Gambit
A57,Benko Gambit Accepted: Dlugy Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. f3,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 f2f3,rnbqkb1r/3ppppp/p4n2/1PpP4/8/5P2/PP2P1PP/RNBQKBNR b KQkq -,Benko Gambit,A57 Benko Gambit
A57,Benko Gambit Accepted: Modern Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. e3,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 e2e3,rnbqkb1r/3ppppp/p4n2/1PpP4/8/4P3/PP3PPP/RNBQKBNR b KQkq -,Benko Gambit,A57 Benko Gambit
A57,Benko Gambit Accepted: Pawn Return Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. b6,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5b6,rnbqkb1r/3ppppp/pP3n2/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq -,Benko Gambit,A57 Benko Gambit
